german,other
ich,yo
du,tú
er,él
sie,ella
es,eso
wir,nosotros
ihr,ustedes
sie,ellos
was,qué
wer,quién
wo,dónde
warum,por qué
wie,cómo
welches,cuál
wann,cuándo
dann,entonces
wenn,si
wirklich,realmente
aber,pero
weil,porque
nicht,no
dieses,este
das,ese
alle,todos
oder,o
und,y
wissen,"saber (sé, supe, sabido)"
denken,"pensar (pienso, pensé, pensado)"
kommen,"venir (vengo, vine, venido)"
legen,"poner (pongo, puse, puesto)"
nehmen,"tomar (tomo, tomé, tomado)"
finden,"encontrar (encuentro, encontré, encontrado)"
zuhören,"escuchar (escucho, escuché, escuchado)"
arbeiten,"trabajar (trabajo, trabajé, trabajado)"
sprechen,"hablar (hablo, hablé, hablado)"
geben,"dar (doy, di, dado)"
mögen,"gustar (gusto, gusté, gustado)"
helfen,"ayudar (ayudo, ayudé, ayudado)"
lieben,"amar (amo, amé, amado)"
telefonieren,"llamar (llamo, llamé, llamado)"
warten,"esperar (espero, esperé, esperado)"
0,cero
1,uno
2,dos
3,tres
4,cuatro
5,cinco
6,seis
7,siete
8,ocho
9,nueve
10,diez
11,once
12,doce
13,trece
14,catorce
15,quince
16,dieciséis
17,diecisiete
18,dieciocho
19,diecinueve
20,veinte
neu,"nuevo (nueva, nuevos, nuevas)"
alt,"viejo (vieja, viejos, viejas)"
wenige,"pocos (poco, poca, pocos, pocas)"
viele,"muchos (mucho, mucha, muchos, muchas)"
falsch,"incorrecto (incorrecta, incorrectos, incorrectas)"
richtig,"correcto (correcta, correctos, correctas)"
schlecht,"malo (mala, malos, malas)"
gut,"bueno (buena, buenos, buenas)"
glücklich,"feliz (feliz, felices, felices)"
kurz,"corto (corta, cortos, cortas)"
lang,"largo (larga, largos, largas)"
klein,"pequeño (pequeña, pequeños, pequeñas)"
groß,"grande (grande, grandes, grandes)"
dort,allá
hier,aquí
rechts,derecha
links,izquierda
schön,"hermoso (hermosa, hermosos, hermosas)"
jung,"joven (joven, jóvenes, jóvenes)"
alt,"viejo (vieja, viejos, viejas)"
hallo,hola
ok,vale
natürlich,por supuesto
tschüss,hasta luego
auf Wiedersehen,adiós
Entschuldigen Sie,discúlpeme
entschuldigung,perdón
danke,gracias
bitte,por favor
jetzt,ahora
Stunde,(la) hora
Minute,(el) minuto
Sekunde,(el) segundo
Tag,(el) día
Woche,(la) semana
Monat,(el) mes
Jahr,(el) año
Abend,(la) noche
